"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Views,Reach,Likes,Shares,"Profile visits",Replies,Navigation,"Link clicks","Sticker taps",Follows
18105034354736986,17841456723306822,ino_moneycoach,いの🐛お得・ポイント・決済を駆使して月５万円UP✨,,0,"01/01/2026 08:47",https://www.instagram.com/stories/ino_moneycoach/3800593262500257059,"IG story",,Lifetime,3790,2652,6,0,18,0,3306,,,
18391975888148728,17841456723306822,ino_moneycoach,いの🐛お得・ポイント・決済を駆使して月５万円UP✨,"SFC修行中の
いのとぴよたです 引き続き頑張りましょう🫡 やっと2人とも3万PP
超えました😭 いつブロンズになるのか✨

ブロンズと普通会員の違いも確認しないといけないです🫡 いつも、「私もSFC修行中です！」とか、「私もやろうと思います！」など
声をかけてくださる皆様
大変ありがとうございます🙇‍♀️ 毎週土曜日ニュースレターでも
進捗報告や詳細をお伝えしているので興味のある方はぜひぜひ登録をお願いします😊",0,"01/20/2026 21:46",https://www.instagram.com/stories/ino_moneycoach/3814756354062688916,"IG story",,Lifetime,3410,2602,9,0,26,2,2864,25,,
18078632360598927,17841456723306822,ino_moneycoach,いの🐛お得・ポイント・決済を駆使して月５万円UP✨,,0,"01/20/2026 17:53",https://www.instagram.com/stories/ino_moneycoach/3814638784047376472,"IG story",,Lifetime,2553,2141,2,0,6,0,2409,7,,
17901633618199913,17841456723306822,ino_moneycoach,いの🐛お得・ポイント・決済を駆使して月５万円UP✨,,0,"01/20/2026 17:53",https://www.instagram.com/stories/ino_moneycoach/3814638785129541218,"IG story",,Lifetime,2607,2176,1,0,,0,2477,23,,
18053271344430438,17841456723306822,ino_moneycoach,いの🐛お得・ポイント・決済を駆使して月５万円UP✨,,0,"01/20/2026 17:53",https://www.instagram.com/stories/ino_moneycoach/3814638784223536632,"IG story",,Lifetime,2643,2228,3,0,2,0,2505,,,
18075116519071214,17841456723306822,ino_moneycoach,いの🐛お得・ポイント・決済を駆使して月５万円UP✨,,0,"01/20/2026 17:53",https://www.instagram.com/stories/ino_moneycoach/3814638790783452995,"IG story",,Lifetime,2672,2272,2,0,3,0,2536,,,
18078104249249274,17841456723306822,ino_moneycoach,いの🐛お得・ポイント・決済を駆使して月５万円UP✨,,0,"01/20/2026 17:53",https://www.instagram.com/stories/ino_moneycoach/3814638790632453896,"IG story",,Lifetime,2829,2337,3,0,1,0,2642,15,,
18078478157027998,17841456723306822,ino_moneycoach,いの🐛お得・ポイント・決済を駆使して月５万円UP✨,"今なら15,000P",0,"01/20/2026 17:53",https://www.instagram.com/stories/ino_moneycoach/3814638783946704624,"IG story",,Lifetime,3104,2408,3,0,4,0,2885,5,,
18373505965085806,17841456723306822,ino_moneycoach,いの🐛お得・ポイント・決済を駆使して月５万円UP✨,"※❼もやる人は
15,000P",0,"01/20/2026 17:53",https://www.instagram.com/stories/ino_moneycoach/3814638785775452114,"IG story",,Lifetime,3269,2492,4,1,1,0,2814,,,
18108736315592445,17841456723306822,ino_moneycoach,いの🐛お得・ポイント・決済を駆使して月５万円UP✨,,0,"01/20/2026 17:53",https://www.instagram.com/stories/ino_moneycoach/3814638790405940712,"IG story",,Lifetime,3319,2609,3,0,17,0,3002,,,
18035769776747433,17841456723306822,ino_moneycoach,いの🐛お得・ポイント・決済を駆使して月５万円UP✨,"ぜひフォローして
お待ちください🙇‍♀️",5,"01/20/2026 15:12",https://www.instagram.com/stories/ino_moneycoach/3814557623040237758,"IG story",,Lifetime,3735,2774,7,0,36,2,2960,,,
18102367330749668,17841456723306822,ino_moneycoach,いの🐛お得・ポイント・決済を駆使して月５万円UP✨,"詳しくは
ハイライトへ💪",0,"01/20/2026 06:10",https://www.instagram.com/stories/ino_moneycoach/3814285158393245087,"IG story",,Lifetime,3854,2759,4,1,51,0,3007,,,1
18151650802442028,17841456723306822,ino_moneycoach,いの🐛お得・ポイント・決済を駆使して月５万円UP✨,,0,"01/19/2026 21:08",https://www.instagram.com/stories/ino_moneycoach/3814012375868292538,"IG story",,Lifetime,2243,1842,4,0,12,0,2010,36,,
18063311228293290,17841456723306822,ino_moneycoach,いの🐛お得・ポイント・決済を駆使して月５万円UP✨,"無印やローソン、
ミニストップ
などなど",0,"01/19/2026 21:08",https://www.instagram.com/stories/ino_moneycoach/3814012378066084145,"IG story",,Lifetime,2152,1857,3,0,4,0,2015,12,,
17993164364885837,17841456723306822,ino_moneycoach,いの🐛お得・ポイント・決済を駆使して月５万円UP✨,"前のページのリンクと
同じです🫡",0,"01/19/2026 21:08",https://www.instagram.com/stories/ino_moneycoach/3814012375012654197,"IG story",,Lifetime,2175,1910,3,0,2,0,2056,,,
18055605470677772,17841456723306822,ino_moneycoach,いの🐛お得・ポイント・決済を駆使して月５万円UP✨,"👇からダウンロードしてね✨✨ 500円 ダウンロード＋
招待コード入力で",0,"01/19/2026 21:08",https://www.instagram.com/stories/ino_moneycoach/3814012382855976069,"IG story",,Lifetime,2283,1955,3,0,6,0,2142,15,,
